id	url
0	https://evidence-res.pro8.redpoints.com/af88fb2d-5c23-47cb-9ac4-763b58ddfd36--69a9b048-21a8-433f-9b98-05d684d8b023_700_product-1_2017_11_21_19755432_19755432_832caf89-1e8a-4b8e-915c-7959ebdc35c4_2048_0
1	https://evidence-res.pro8.redpoints.com/ce15b077-e244-4843-b801-890fc6eb4c3c--154bc8a8-72c5-47a8-9e2a-de55d343db64_HTB1_EfiaN_rK1RkHFqDq6yJAFXaC.jpg
2	https://evidence-res.pro8.redpoints.com/e934c247-8e7d-46c3-aaec-6f22bbdff713--fde7f468-26b8-4f5f-9a98-7adbc5f489a5_HTB1FtNNbyYrK1Rjy0Fdq6ACvVXaf.jpg
3	https://evidence-res.pro8.redpoints.com/c6be42be-29e4-4a73-b374-e118c174782a--04df21f0-0ac2-46d0-81c6-24c85b67f922_HTB1wYG9NAvoK1RjSZFwq6AiCFXaf.jpg
4	https://evidence-res.pro8.redpoints.com/c6be42be-29e4-4a73-b374-e118c174782a--04df21f0-0ac2-46d0-81c6-24c85b67f922_HTB1br1_NxjaK1RjSZFAq6zdLFXa5.jpg
5	https://evidence-res.pro8.redpoints.com/076691f7-52ab-4637-81a5-4ec28acc3c47_f2-albu-g5-M01-4F-CF-rBVaJFin-GaAOqgeAAEerjHvTTg078.jpg_infant-baby-teether-toothbrush-silicone-tooth.jpg
6	https://evidence-res.pro8.redpoints.com/076691f7-52ab-4637-81a5-4ec28acc3c47_f2-albu-g5-M01-E2-35-rBVaI1in-GaARxWdAADiTNwvWUE244.jpg_infant-baby-teether-toothbrush-silicone-tooth.jpg
7	https://evidence-res.pro8.redpoints.com/076691f7-52ab-4637-81a5-4ec28acc3c47_f2-albu-g5-M01-CA-45-rBVaI1in-FqAfrLTAAGwtE8UN6M449.jpg_infant-baby-teether-toothbrush-silicone-tooth.jpg
8	https://evidence-res.pro8.redpoints.com/076691f7-52ab-4637-81a5-4ec28acc3c47_f2-albu-g5-M00-23-91-rBVaJFin-GaAAsPGAAGZPxlbFxA212.jpg_infant-baby-teether-toothbrush-silicone-tooth.jpg
9	https://evidence-res.pro8.redpoints.com/076691f7-52ab-4637-81a5-4ec28acc3c47_f2-albu-g5-M00-4B-CD-rBVaI1in-GaARP9yAAGHZB4bas0101.jpg_infant-baby-teether-toothbrush-silicone-tooth.jpg
10	https://evidence-res.pro8.redpoints.com/076691f7-52ab-4637-81a5-4ec28acc3c47_f2-albu-g5-M00-03-EB-rBVaI1in-GaAehrbAAEdJ927aTw844.jpg_infant-baby-teether-toothbrush-silicone-tooth.jpg
11	https://evidence-res.pro8.redpoints.com/076691f7-52ab-4637-81a5-4ec28acc3c47_f2-albu-g5-M01-8B-41-rBVaI1in-GaAUaN2AAEuKw5D8o0242.jpg_infant-baby-teether-toothbrush-silicone-tooth.jpg
12	https://evidence-res.pro8.redpoints.com/076691f7-52ab-4637-81a5-4ec28acc3c47_f2-albu-g5-M01-CC-31-rBVaJFin-GaAcZ9-AAEU6XVbwPI729.jpg_infant-baby-teether-toothbrush-silicone-tooth.jpg
13	https://evidence-res.pro8.redpoints.com/89e38219-d080-462b-a4e7-3eef489d869e_f2-albu-g4-M00-CA-69-rBVaEVcSVrqAf7_JAADq2wP4ZAo023.jpg_banana-giraffe-design-baby-soothers-fruit.jpg
